;Cust_id;Year;Nationality_id;Country_booked;Nationality;Frequency;Promo_id;Recency;Country_booked_id;Score
15769;26980;2019;43;Indonesia;ID;3;3;87;3;6
6574;11336;2019;43;Indonesia;ID;3;3;238;3;6
16027;27448;2019;43;Singapore;ID;3;6;208;3;9
15860;27144;2019;43;Indonesia;ID;3;6;269;3;9
13381;22941;2019;43;Indonesia;ID;3;5;481;3;8
17985;30820;2019;43;Japan;ID;3;6;239;6;12
9481;16295;2019;93;Japan;SG;3;3;331;6;9
14470;24757;2019;43;Indonesia;ID;3;3;117;3;6
4042;6899;2019;43;Indonesia;ID;3;4;634;3;7
8592;14803;2019;72;Australia;MY;3;6;87;6;12
17106;29305;2019;43;Indonesia;ID;3;5;177;3;8
18683;32063;2019;43;Indonesia;ID;3;6;453;3;9
11576;19903;2019;43;Australia;ID;3;6;208;6;12
3515;5933;2019;103;USA;US;3;4;454;6;10
10162;17442;2019;43;Indonesia;ID;3;4;693;3;7
15592;26665;2019;43;Spain;ID;3;3;360;6;9
301;506;2019;43;Indonesia;ID;3;3;331;3;6
9296;15980;2019;81;Japan;PH;3;5;815;6;11
4102;7012;2019;81;Thailand;PH;3;6;270;6;12
3512;5924;2019;43;Japan;ID;3;3;209;6;9
18057;30963;2019;43;Italy;ID;3;3;360;6;9
13785;23605;2019;81;United Arab Emirates;PH;3;6;819;6;12
2633;4451;2019;43;Indonesia;ID;3;5;392;3;8
17033;29165;2019;81;France;PH;3;3;392;6;9
3022;5073;2019;43;Indonesia;ID;3;3;819;3;6
6387;11029;2019;43;Indonesia;ID;3;4;300;3;7
5805;10008;2019;81;Philippines;PH;3;3;177;3;6
6852;11815;2019;43;United Kingdom;ID;3;3;330;6;9
18266;31363;2019;43;USA;ID;3;6;546;6;12
14692;25123;2019;43;Indonesia;ID;3;3;147;3;6
8334;14334;2019;43;Indonesia;ID;3;6;300;3;9
7;17;2019;19;Australia;CN;3;6;87;6;12
780;1338;2019;103;USA;US;3;5;209;6;11
1600;2745;2019;81;France;PH;3;3;968;6;9
1622;2771;2019;43;Indonesia;ID;3;5;819;3;8
5641;9680;2019;43;Indonesia;ID;3;6;270;3;9
13605;23323;2019;81;USA;PH;3;5;422;6;11
11207;19259;2019;81;Philippines;PH;3;3;270;3;6
14705;25136;2019;81;Italy;PH;3;3;87;6;9
7172;12390;2019;93;Singapore;SG;3;4;819;3;7
16;33;2019;19;United Kingdom;CN;3;3;270;6;9
15345;26234;2019;43;Indonesia;ID;3;3;331;3;6
13547;23235;2019;43;Japan;ID;3;4;605;6;10
6319;10902;2019;43;Indonesia;ID;3;4;423;3;7
3763;6400;2019;93;Japan;SG;3;3;177;6;9
5627;9658;2019;43;USA;ID;3;5;87;6;11
3699;6256;2019;43;Indonesia;ID;3;6;148;3;9
3672;6203;2019;103;USA;US;3;5;117;6;11
637;1107;2019;81;Spain;PH;3;3;819;6;9
13566;23258;2019;43;Indonesia;ID;3;3;787;3;6
18320;31444;2019;5;Japan;AU;3;3;87;6;9
16297;27863;2019;16;USA;CA;3;3;269;6;9
17242;29538;2019;43;Indonesia;ID;3;3;1089;3;6
7220;12474;2019;43;Japan;ID;3;6;729;6;12
7221;12474;2019;43;Taiwan;ID;3;5;636;6;11
8122;13986;2019;81;Philippines;PH;3;3;270;3;6
17259;29565;2019;16;Philippines;CA;3;3;331;3;6
5605;9632;2019;43;USA;ID;3;6;177;6;12
5063;8698;2019;103;Philippines;US;3;5;147;3;8
6452;11141;2019;103;Australia;US;3;5;240;6;11
18868;32392;2019;43;Indonesia;ID;3;4;269;3;7
12456;21373;2019;43;United Kingdom;ID;3;5;87;6;11
8802;15179;2019;93;Japan;SG;2;2;180;4;6
16911;28962;2019;43;USA;ID;2;4;58;4;8
5903;10157;2019;43;Indonesia;ID;2;4;363;2;6
1044;1819;2019;43;Indonesia;ID;2;4;302;2;6
6839;11797;2019;43;Hong Kong;ID;2;2;118;4;6
15900;27220;2019;81;Japan;PH;2;3;546;4;7
17975;30800;2019;43;Malaysia;ID;2;2;608;4;6
5738;9885;2019;43;Indonesia;ID;2;2;88;2;4
11577;19905;2019;43;Australia;ID;2;4;302;4;8
18275;31370;2019;43;Australia;ID;2;3;486;4;7
6691;11557;2019;103;USA;US;2;2;240;4;6
6842;11803;2019;43;Indonesia;ID;2;2;88;2;4
11579;19915;2019;43;Indonesia;ID;2;2;118;2;4
7612;13138;2019;43;Indonesia;ID;2;2;58;2;4
6685;11543;2019;43;Indonesia;ID;2;2;664;2;4
9087;15647;2019;81;Maldives;PH;2;2;58;4;6
13586;23285;2019;43;Indonesia;ID;2;4;302;2;6
7815;13469;2019;93;Indonesia;SG;2;4;118;2;6
13357;22908;2019;43;Japan;ID;2;3;424;4;7
18268;31365;2019;43;Indonesia;ID;2;4;180;2;6
15749;26940;2019;81;Japan;PH;2;2;422;4;6
8829;15218;2019;81;Philippines;PH;2;2;486;2;4
7776;13403;2019;81;USA;PH;2;2;88;4;6
14678;25099;2019;81;Japan;PH;2;2;180;4;6
5872;10112;2019;43;Japan;ID;2;2;118;4;6
4309;7354;2019;43;Thailand;ID;2;2;546;4;6
14885;25428;2019;43;Indonesia;ID;2;4;88;2;6
8833;15223;2019;43;Indonesia;ID;2;4;272;2;6
1013;1768;2019;43;Indonesia;ID;2;2;58;2;4
14887;25431;2019;43;Indonesia;ID;2;4;88;2;6
4304;7351;2019;103;South Korea;US;2;3;210;4;7
18267;31364;2019;43;Indonesia;ID;2;3;119;2;5
10627;18227;2019;81;Philippines;PH;2;4;180;2;6
8824;15209;2019;72;South Korea;MY;2;2;332;4;6
7788;13422;2019;93;Indonesia;SG;2;2;210;2;4
7817;13471;2019;81;Japan;PH;2;2;118;4;6
15752;26941;2019;81;Philippines;PH;2;4;58;2;6
13375;22935;2019;43;Greece;ID;2;2;486;4;6
7794;13433;2019;81;Japan;PH;2;2;58;4;6
3231;5431;2019;81;Philippines;PH;2;3;119;2;5
10377;17795;2019;43;Indonesia;ID;2;3;58;2;5
15898;27220;2019;81;Australia;PH;2;4;486;4;8
8788;15160;2019;43;Indonesia;ID;2;2;119;2;4
719;1249;2019;72;Australia;MY;2;3;180;4;7
3402;5738;2019;43;Japan;ID;2;2;88;4;6
11758;20216;2019;43;Italy;ID;2;3;302;4;7
15712;26871;2019;93;USA;SG;2;2;516;4;6
7843;13521;2019;43;Japan;ID;2;2;118;4;6
11541;19829;2019;43;Japan;ID;2;3;88;4;7
7846;13526;2019;43;Indonesia;ID;2;3;118;2;5
3428;5778;2019;43;Indonesia;ID;2;4;180;2;6
14640;25041;2019;81;USA;PH;2;2;118;4;6
6661;11510;2019;81;USA;PH;2;2;149;4;6
2391;4065;2019;81;USA;PH;2;2;392;4;6
5954;10252;2019;103;Canada;US;2;2;364;4;6
3431;5783;2019;43;USA;ID;2;3;364;4;7
4569;7841;2019;81;Mexico;PH;2;2;180;4;6
1117;1935;2019;43;Australia;ID;2;2;455;4;6
4570;7843;2019;43;Japan;ID;2;4;455;4;8
17903;30677;2019;43;Indonesia;ID;2;4;210;2;6
3434;5787;2019;43;Indonesia;ID;2;4;58;2;6
4571;7847;2019;43;Indonesia;ID;2;4;58;2;6
8737;15058;2019;81;Japan;PH;2;3;272;4;7
2112;3559;2019;43;Japan;ID;2;3;58;4;7
14970;25570;2019;43;Indonesia;ID;2;4;88;2;6
1127;1948;2019;43;Australia;ID;2;2;118;4;6
1128;1948;2019;43;France;ID;2;4;58;4;8
5963;10264;2019;81;Philippines;PH;2;4;118;2;6
1133;1952;2019;43;Japan;ID;2;2;424;4;6
15927;27273;2019;43;Indonesia;ID;2;2;272;2;4
15700;26846;2019;103;Indonesia;US;2;3;240;2;5
681;1184;2019;81;Philippines;PH;2;2;302;2;4
10710;18363;2019;43;Australia;ID;2;4;58;4;8
10350;17749;2019;81;South Korea;PH;2;2;58;4;6
12634;21654;2019;103;Indonesia;US;2;4;302;2;6
8753;15079;2019;43;Indonesia;ID;2;3;726;2;5
16708;28595;2019;43;Indonesia;ID;2;3;302;2;5
6683;11540;2019;43;Australia;ID;2;4;149;4;8
13345;22873;2019;43;Indonesia;ID;2;2;88;2;4
14658;25069;2019;81;Japan;PH;2;2;58;4;6
4257;7282;2019;43;USA;ID;2;2;486;4;6
1072;1864;2019;43;Indonesia;ID;2;2;58;2;4
10661;18274;2019;81;Philippines;PH;2;2;424;2;4
15729;26899;2019;93;Indonesia;SG;2;2;364;2;4
16882;28899;2019;43;Indonesia;ID;2;2;118;2;4
6846;11809;2019;43;Indonesia;ID;2;2;424;2;4
15728;26896;2019;81;Philippines;PH;2;3;118;2;5
10362;17766;2019;103;Australia;US;2;2;58;4;6
7826;13483;2019;81;Philippines;PH;2;3;302;2;5
17936;30725;2019;43;Japan;ID;2;2;241;4;6
4236;7243;2019;43;Japan;ID;2;2;726;4;6
16706;28594;2019;5;USA;AU;2;4;608;4;8
17934;30725;2019;43;Australia;ID;2;2;361;4;6
708;1230;2019;43;Indonesia;ID;2;2;302;2;4
12626;21643;2019;43;Indonesia;ID;2;2;88;2;4
12627;21644;2019;43;Australia;ID;2;2;58;4;6
17930;30719;2019;43;Indonesia;ID;2;2;58;2;4
4244;7263;2019;81;Philippines;PH;2;4;88;2;6
10675;18296;2019;43;Indonesia;ID;2;2;333;2;4
3418;5766;2019;81;Singapore;PH;2;4;149;2;6
17925;30710;2019;43;Singapore;ID;2;4;118;2;6
14948;25532;2019;93;Japan;SG;2;2;608;4;6
5939;10229;2019;39;Thailand;HK;2;2;118;4;6
13567;23259;2019;43;Indonesia;ID;2;3;302;2;5
7636;13170;2019;43;Japan;ID;2;2;180;4;6
10595;18177;2019;81;Philippines;PH;2;3;302;2;5
9032;15567;2019;4;Japan;AT;2;2;302;4;6
18144;31136;2019;43;Indonesia;ID;2;2;88;2;4
13481;23133;2019;103;Thailand;US;2;3;180;4;7
2272;3821;2019;43;Indonesia;ID;2;4;58;2;6
13478;23126;2019;81;USA;PH;2;2;149;4;6
15830;27084;2019;103;USA;US;2;2;241;4;6
4411;7539;2019;43;Indonesia;ID;2;4;211;2;6
12494;21431;2019;43;Indonesia;ID;2;2;180;2;4
14784;25266;2019;43;Indonesia;ID;2;2;88;2;4
16810;28772;2019;43;Indonesia;ID;2;3;88;2;5
11670;20078;2019;43;Indonesia;ID;2;2;118;2;4
18130;31111;2019;43;Japan;ID;2;2;58;4;6
18128;31108;2019;43;Indonesia;ID;2;2;608;2;4
14711;25139;2019;43;Indonesia;ID;2;3;636;2;5
863;1455;2019;43;Indonesia;ID;2;2;118;2;4
10512;18036;2019;43;Indonesia;ID;2;3;88;2;5
8940;15419;2019;43;Indonesia;ID;2;2;58;2;4
16821;28790;2019;43;Indonesia;ID;2;2;180;2;4
11660;20060;2019;103;Japan;US;2;4;608;4;8
8937;15412;2019;43;Indonesia;ID;2;4;361;2;6
10515;18041;2019;43;Indonesia;ID;2;4;58;2;6
7716;13292;2019;43;Indonesia;ID;2;3;391;2;5
11659;20060;2019;103;France;US;2;3;240;4;7
12540;21504;2019;43;Indonesia;ID;2;2;58;2;4
18110;31076;2019;43;USA;ID;2;4;58;4;8
14804;25304;2019;43;Japan;ID;2;2;608;4;6
10522;18058;2019;43;Australia;ID;2;2;149;4;6
18216;31275;2019;0;Indonesia;AE;2;2;486;2;4
16801;28760;2019;43;Indonesia;ID;2;4;58;2;6
10389;17816;2019;43;Indonesia;ID;2;3;58;2;5
14727;25171;2019;43;Turkey;ID;2;2;424;4;6
5733;9874;2019;43;Indonesia;ID;2;2;302;2;4
825;1396;2019;81;USA;PH;2;3;118;4;7
12509;21453;2019;93;Japan;SG;2;4;664;4;8
2315;3913;2019;103;USA;US;2;3;149;4;7
810;1377;2019;81;Singapore;PH;2;2;179;2;4
15863;27147;2019;43;Indonesia;ID;2;2;394;2;4
7681;13232;2019;43;USA;ID;2;2;422;4;6
12515;21462;2019;43;Indonesia;ID;2;4;119;2;6
16788;28742;2019;43;Japan;ID;2;4;58;4;8
12519;21467;2019;43;Indonesia;ID;2;3;422;2;5
18169;31179;2019;93;Singapore;SG;2;2;241;2;4
18201;31247;2019;43;Japan;ID;2;4;58;4;8
3264;5499;2019;81;South Korea;PH;2;3;455;4;7
11201;19249;2019;81;Philippines;PH;2;2;240;2;4
16760;28698;2019;81;Japan;PH;2;4;392;4;8
18164;31171;2019;43;USA;ID;2;2;575;4;6
14720;25163;2019;43;Indonesia;ID;2;2;272;2;4
14762;25233;2019;81;Japan;PH;2;4;58;4;8
7688;13243;2019;43;Indonesia;ID;2;3;58;2;5
2287;3860;2019;43;Indonesia;ID;2;2;88;2;4
7690;13246;2019;43;Indonesia;ID;2;2;425;2;4
11681;20093;2019;71;Canada;MX;2;2;424;4;6
3294;5553;2019;16;USA;CA;2;4;88;4;8
7695;13254;2019;72;Japan;MY;2;3;179;4;7
8968;15472;2019;53;Indonesia;JP;2;4;636;2;6
4479;7651;2019;43;Indonesia;ID;2;4;118;2;6
3317;5598;2019;72;Australia;MY;2;3;394;4;7
4387;7495;2019;43;South Korea;ID;2;2;118;4;6
14709;25138;2019;43;Indonesia;ID;2;2;180;2;4
18041;30932;2019;81;Philippines;PH;2;4;58;2;6
18055;30958;2019;43;Japan;ID;2;4;58;4;8
10571;18138;2019;43;Singapore;ID;2;3;363;2;5
14852;25375;2019;43;Indonesia;ID;2;2;179;2;4
13551;23241;2019;81;Philippines;PH;2;2;424;2;4
18047;30940;2019;24;United Arab Emirates;DE;2;2;240;4;6
13414;22997;2019;81;Hong Kong;PH;2;4;364;4;8
18238;31313;2019;93;Singapore;SG;2;2;210;2;4
8871;15291;2019;43;Japan;ID;2;4;486;4;8
18044;30937;2019;93;Indonesia;SG;2;4;240;2;6
5850;10075;2019;93;Italy;SG;2;2;486;4;6
11730;20177;2019;43;Australia;ID;2;4;88;4;8
8869;15287;2019;81;Singapore;PH;2;2;302;2;4
8865;15280;2019;81;Japan;PH;2;4;667;4;8
13299;22812;2019;43;USA;ID;2;3;271;4;7
13409;22993;2019;93;Indonesia;SG;2;3;483;2;5
18034;30923;2019;39;Indonesia;HK;2;4;240;2;6
10582;18157;2019;39;United Kingdom;HK;2;2;118;4;6
767;1320;2019;43;Australia;ID;2;2;58;4;6
10401;17841;2019;81;Singapore;PH;2;2;210;2;4
5698;9807;2019;43;USA;ID;2;4;180;4;8
8856;15258;2019;43;Macau;ID;2;2;118;4;6
11706;20136;2019;43;Indonesia;ID;2;2;608;2;4
758;1308;2019;43;USA;ID;2;4;58;4;8
16736;28651;2019;43;Indonesia;ID;2;2;58;2;4
6719;11604;2019;43;Czech Republic;ID;2;4;119;4;8
11604;19961;2019;81;Japan;PH;2;2;332;4;6
8880;15301;2019;43;Indonesia;ID;2;4;58;2;6
10409;17860;2019;81;USA;PH;2;3;180;4;7
10566;18131;2019;43;Indonesia;ID;2;3;149;2;5
5840;10060;2019;93;Greece;SG;2;2;608;4;6
13454;23090;2019;43;Indonesia;ID;2;4;58;2;6
13453;23086;2019;43;Indonesia;ID;2;2;88;2;4
15814;27051;2019;43;Indonesia;ID;2;4;483;2;6
15813;27045;2019;43;Indonesia;ID;2;2;424;2;4
18097;31057;2019;43;USA;ID;2;2;118;4;6
13542;23228;2019;46;United Arab Emirates;IN;2;2;118;4;6
8918;15374;2019;43;USA;ID;2;4;58;4;8
919;1581;2019;43;Singapore;ID;2;2;118;2;4
5814;10023;2019;43;South Africa;ID;2;3;363;4;7
922;1586;2019;43;Indonesia;ID;2;2;302;2;4
6753;11666;2019;43;Indonesia;ID;2;2;241;2;4
18226;31290;2019;43;USA;ID;2;4;88;4;8
13441;23061;2019;103;USA;US;2;2;118;4;6
5826;10041;2019;43;Singapore;ID;2;3;424;2;5
11726;20170;2019;43;Indonesia;ID;2;4;179;2;6
8895;15329;2019;43;Italy;ID;2;2;394;4;6
14836;25353;2019;43;Indonesia;ID;2;2;210;2;4
943;1628;2019;81;Spain;PH;2;2;58;4;6
8893;15327;2019;43;Switzerland;ID;2;3;455;4;7
2336;3970;2019;43;Indonesia;ID;2;2;364;2;4
2337;3972;2019;43;Indonesia;ID;2;4;118;2;6
12565;21547;2019;43;Singapore;ID;2;4;180;2;6
18065;30974;2019;72;USA;MY;2;4;364;4;8
7643;13183;2019;93;Australia;SG;2;2;605;4;6
7750;13354;2019;81;Italy;PH;2;2;240;4;6
15697;26842;2019;43;USA;ID;2;2;58;4;6
17012;29130;2019;81;Philippines;PH;2;2;486;2;4
16973;29064;2019;81;South Korea;PH;2;4;88;4;8
17517;30025;2019;43;Indonesia;ID;2;4;58;2;6
1521;2595;2019;43;Indonesia;ID;2;2;118;2;4
3639;6156;2019;81;Philippines;PH;2;4;180;2;6
15270;26107;2019;93;Japan;SG;2;2;118;4;6
1851;3135;2019;43;Japan;ID;2;4;118;4;8
17533;30047;2019;81;Japan;PH;2;2;210;4;6
17534;30052;2019;81;Philippines;PH;2;2;179;2;4
11319;19453;2019;81;USA;PH;2;2;118;4;6
8080;13915;2019;93;Taiwan;SG;2;3;302;4;7
1859;3147;2019;43;Indonesia;ID;2;4;88;2;6
17544;30062;2019;43;Indonesia;ID;2;2;58;2;4
1499;2562;2019;43;Indonesia;ID;2;3;88;2;5
3627;6143;2019;43;Singapore;ID;2;2;240;2;4
3626;6141;2019;43;Germany;ID;2;2;486;4;6
12798;21944;2019;43;Indonesia;ID;2;3;422;2;5
15533;26577;2019;43;Japan;ID;2;3;452;4;7
6259;10801;2019;81;Indonesia;PH;2;4;58;2;6
6260;10801;2019;81;Philippines;PH;2;2;88;2;4
8332;14329;2019;5;Australia;AU;2;2;58;4;6
8372;14413;2019;81;Indonesia;PH;2;4;333;2;6
15482;26497;2019;43;Australia;ID;2;2;486;4;6
1573;2691;2019;43;Japan;ID;2;3;546;4;7
17476;29953;2019;43;Indonesia;ID;2;4;58;2;6
6450;11134;2019;43;Indonesia;ID;2;2;58;2;4
8341;14345;2019;43;Indonesia;ID;2;2;118;2;4
17481;29970;2019;43;Indonesia;ID;2;3;180;2;5
17485;29975;2019;43;Indonesia;ID;2;2;180;2;4
17488;29981;2019;81;USA;PH;2;3;577;4;7
17493;29986;2019;17;Philippines;CH;2;4;180;2;6
6463;11158;2019;43;Indonesia;ID;2;4;88;2;6
15296;26166;2019;43;Singapore;ID;2;2;58;2;4
1543;2631;2019;43;Indonesia;ID;2;3;240;2;5
1539;2624;2019;43;Indonesia;ID;2;4;241;2;6
15509;26537;2019;43;Indonesia;ID;2;2;333;2;4
12817;21977;2019;43;Australia;ID;2;2;486;4;6
17554;30075;2019;43;Indonesia;ID;2;2;455;2;4
17556;30077;2019;43;United Kingdom;ID;2;2;180;4;6
13055;22391;2019;43;Indonesia;ID;2;2;149;2;4
11331;19472;2019;43;Indonesia;ID;2;4;58;2;6
17585;30126;2019;43;Indonesia;ID;2;2;179;2;4
6207;10727;2019;43;Japan;ID;2;4;726;4;8
8437;14536;2019;81;Indonesia;PH;2;3;302;2;5
12783;21918;2019;43;Indonesia;ID;2;2;364;2;4
11349;19507;2019;81;Philippines;PH;2;2;486;2;4
13079;22423;2019;43;USA;ID;2;4;333;4;8
1446;2488;2019;81;USA;PH;2;3;118;4;7
3953;6748;2019;81;Japan;PH;2;3;271;4;7
8446;14550;2019;43;Indonesia;ID;2;4;58;2;6
11353;19514;2019;43;Indonesia;ID;2;4;118;2;6
10976;18823;2019;81;Switzerland;PH;2;4;726;4;8
1438;2475;2019;43;Indonesia;ID;2;3;271;2;5
6515;11243;2019;43;Indonesia;ID;2;2;119;2;4
10973;18820;2019;81;South Korea;PH;2;2;726;4;6
1900;3214;2019;43;Indonesia;ID;2;3;119;2;5
11342;19495;2019;81;France;PH;2;2;240;4;6
17179;29419;2019;43;Singapore;ID;2;4;364;2;6
1462;2508;2019;43;Indonesia;ID;2;4;364;2;6
11337;19480;2019;81;Indonesia;PH;2;2;608;2;4
17559;30083;2019;43;Indonesia;ID;2;4;118;2;6
8411;14477;2019;81;South Korea;PH;2;2;180;4;6
11334;19477;2019;43;Indonesia;ID;2;4;179;2;6
3929;6699;2019;81;South Korea;PH;2;3;118;4;7
1477;2529;2019;81;USA;PH;2;3;179;4;7
8064;13888;2019;43;Indonesia;ID;2;3;211;2;5
11001;18882;2019;43;Indonesia;ID;2;3;302;2;5
17180;29420;2019;81;Japan;PH;2;2;58;4;6
3934;6713;2019;81;USA;PH;2;4;516;4;8
17572;30104;2019;43;Japan;ID;2;2;58;4;6
15239;26057;2019;81;USA;PH;2;2;118;4;6
8061;13886;2019;43;Indonesia;ID;2;4;240;2;6
8423;14500;2019;43;South Korea;ID;2;3;88;4;7
11340;19486;2019;43;Indonesia;ID;2;4;302;2;6
15480;26490;2019;43;Japan;ID;2;4;149;4;8
11085;19014;2019;81;Indonesia;PH;2;4;118;2;6
1142;1973;2019;43;Indonesia;ID;2;4;241;2;6
3769;6407;2019;43;USA;ID;2;3;608;4;7
3728;6328;2019;81;Italy;PH;2;4;58;4;8
15393;26329;2019;43;France;ID;2;2;608;4;6
15392;26327;2019;43;Indonesia;ID;2;4;58;2;6
3777;6420;2019;81;Philippines;PH;2;2;636;2;4
1745;2974;2019;43;Turkey;ID;2;4;455;4;8
17314;29666;2019;43;USA;ID;2;4;58;4;8
17312;29662;2019;81;Philippines;PH;2;2;302;2;4
3724;6306;2019;81;Japan;PH;2;4;118;4;8
12933;22191;2019;103;Indonesia;US;2;4;118;2;6
11155;19120;2019;81;Singapore;PH;2;4;302;2;6
3787;6445;2019;81;Philippines;PH;2;2;118;2;4
12939;22200;2019;39;Hong Kong;HK;2;4;391;4;8
17393;29801;2019;43;Indonesia;ID;2;3;302;2;5
8176;14067;2019;103;Japan;US;2;4;424;4;8
15444;26410;2019;43;United Kingdom;ID;2;4;88;4;8
17318;29673;2019;43;Japan;ID;2;2;118;4;6
15397;26333;2019;5;Japan;AU;2;4;118;4;8
12987;22274;2019;43;Indonesia;ID;2;2;333;2;4
8232;14169;2019;81;Japan;PH;2;3;608;4;7
17341;29714;2019;43;Indonesia;ID;2;3;391;2;5
1715;2923;2019;93;Singapore;SG;2;4;179;2;6
3740;6350;2019;43;Indonesia;ID;2;4;88;2;6
